Resistance Fitness Multiplier,Introduction Frequency,Generations to 99% drive-carrying individuals
0.15,0.74,500
0.15,0.75,500
0.15,0.76,500
0.15,0.77,500
0.15,0.78,500
0.15,0.79,500
0.15,0.8,500
0.15,0.81,500
0.15,0.82,500
0.15,0.83,500
0.15,0.84,500
0.15,0.85,500
0.15,0.86,500
0.15,0.87,500
0.15,0.88,500
0.15,0.89,500
0.15,0.9,500
0.15,0.91,500
0.15,0.92,500
0.15,0.93,500
0.15,0.94,500
0.15,0.95,500
0.15,0.96,500
0.15,0.97,500
0.15,0.98,500
0.15,0.99,500
0.15,1.0,500
0.16,0.5,500
0.16,0.51,500
0.16,0.52,500
0.16,0.53,500
0.16,0.54,500
0.16,0.55,500
0.16,0.56,500
0.16,0.57,500
0.16,0.58,500
0.16,0.59,500
0.16,0.6,500
0.16,0.61,500
0.16,0.62,500
0.16,0.63,500
0.16,0.64,500
0.16,0.65,500
0.16,0.66,500
0.16,0.67,500
0.16,0.68,500
0.16,0.69,500
0.16,0.7,500
0.16,0.71,500
0.16,0.72,500
0.16,0.73,500
0.16,0.74,500
0.16,0.75,500
0.16,0.76,500
0.16,0.77,500
0.16,0.78,500
0.16,0.79,500
0.16,0.8,500
0.16,0.81,500
0.16,0.82,500
0.16,0.83,500
0.16,0.84,500
0.16,0.85,500
0.16,0.86,500
0.16,0.87,500
0.16,0.88,500
0.16,0.89,500
0.16,0.9,500
0.16,0.91,500
0.16,0.92,500
0.16,0.93,500
0.16,0.94,500
0.16,0.95,500
0.16,0.96,500
0.16,0.97,500
0.16,0.98,500
0.16,0.99,500
0.16,1.0,500
0.17,0.5,500
0.17,0.51,500
0.17,0.52,500
0.17,0.53,500
0.17,0.54,500
0.17,0.55,500
0.17,0.56,500
0.17,0.57,500
0.17,0.58,500
0.17,0.59,500
0.17,0.6,500
0.17,0.61,500
0.17,0.62,500
0.17,0.63,500
0.17,0.64,500
0.17,0.65,500
0.17,0.66,500
0.17,0.67,500
0.17,0.68,500
0.17,0.69,500
0.17,0.7,500
0.17,0.71,500
0.17,0.72,500
0.17,0.73,500
0.17,0.74,500
0.17,0.75,500
0.17,0.76,500
0.17,0.77,500
0.17,0.78,500
0.17,0.79,500
0.17,0.8,500
0.17,0.81,500
0.17,0.82,500
0.17,0.83,500
0.17,0.84,500
0.17,0.85,500
