Drive Homozygote Fitness,Introduction Frequency,Generations to 99% drive-carrying individuals
0.6,0.81,5.1
0.6,0.82,5.0
0.6,0.83,5.0
0.6,0.84,4.2
0.6,0.85,4.0
0.6,0.86,4.0
0.6,0.87,3.6
0.6,0.88,3.0
0.6,0.89,3.0
0.6,0.9,3.0
0.6,0.91,2.9
0.6,0.92,2.0
0.6,0.93,2.0
0.6,0.94,2.0
0.6,0.95,1.0
0.6,0.96,1.0
0.6,0.97,1.0
0.6,0.98,1.0
0.6,0.99,1.0
0.6,1.0,1.0
0.61,0.6,1000
0.61,0.61,1000
0.61,0.62,1000
0.61,0.63,1000
0.61,0.64,1000
0.61,0.65,1000
0.61,0.66,1000
0.61,0.67,1000
0.61,0.68,1000
0.61,0.69,1000
0.61,0.7,1000
0.61,0.71,1000
0.61,0.72,1000
0.61,0.73,1000
0.61,0.74,13.0
0.61,0.75,10.8
0.61,0.76,8.3
0.61,0.77,7.2
0.61,0.78,6.8
0.61,0.79,6.0
0.61,0.8,5.8
0.61,0.81,5.0
0.61,0.82,5.0
0.61,0.83,4.6
0.61,0.84,4.0
0.61,0.85,4.0
0.61,0.86,4.0
0.61,0.87,3.8
0.61,0.88,3.0
0.61,0.89,3.0
0.61,0.9,3.0
0.61,0.91,2.9
0.61,0.92,2.0
0.61,0.93,2.0
0.61,0.94,2.0
0.61,0.95,1.0
0.61,0.96,1.0
0.61,0.97,1.0
0.61,0.98,1.0
0.61,0.99,1.0
0.61,1.0,1.0
0.62,0.6,1000
0.62,0.61,1000
0.62,0.62,1000
0.62,0.63,1000
0.62,0.64,1000
0.62,0.65,1000
0.62,0.66,1000
0.62,0.67,1000
0.62,0.68,1000
0.62,0.69,1000
0.62,0.7,1000
0.62,0.71,1000
0.62,0.72,1000
0.62,0.73,1000
0.62,0.74,12.0
0.62,0.75,9.3
0.62,0.76,8.0
0.62,0.77,7.0
0.62,0.78,6.6
0.62,0.79,6.0
0.62,0.8,5.6
0.62,0.81,5.0
0.62,0.82,5.0
0.62,0.83,4.3
0.62,0.84,4.0
0.62,0.85,4.0
0.62,0.86,4.0
0.62,0.87,3.1
0.62,0.88,3.0
0.62,0.89,3.0
0.62,0.9,3.0
0.62,0.91,2.6
0.62,0.92,2.0
0.62,0.93,2.0
0.62,0.94,1.9
0.62,0.95,1.0
0.62,0.96,1.0
0.62,0.97,1.0
0.62,0.98,1.0
0.62,0.99,1.0
0.62,1.0,1.0
0.63,0.6,1000
0.63,0.61,1000
0.63,0.62,1000
0.63,0.63,1000
0.63,0.64,1000
0.63,0.65,1000
0.63,0.66,1000
0.63,0.67,1000
0.63,0.68,1000
0.63,0.69,1000
0.63,0.7,1000
0.63,0.71,1000
0.63,0.72,1000
0.63,0.73,1000
0.63,0.74,11.0
0.63,0.75,9.2
0.63,0.76,7.7
0.63,0.77,6.9
0.63,0.78,6.1
0.63,0.79,5.9
0.63,0.8,5.3
0.63,0.81,5.0
0.63,0.82,5.0
0.63,0.83,4.1
0.63,0.84,4.0
0.63,0.85,4.0
0.63,0.86,4.0
0.63,0.87,3.4
0.63,0.88,3.0
0.63,0.89,3.0
0.63,0.9,3.0
0.63,0.91,2.3
0.63,0.92,2.0
0.63,0.93,2.0
0.63,0.94,2.0
0.63,0.95,1.0
0.63,0.96,1.0
0.63,0.97,1.0
0.63,0.98,1.0
0.63,0.99,1.0
0.63,1.0,1.0
0.64,0.6,1000
0.64,0.61,1000
0.64,0.62,1000
0.64,0.63,1000
0.64,0.64,1000
