Haploinsufficiency,Embryo Cut Rate,Generations to 99% drive-carrying individuals
0.64,0.78,27
0.64,0.8,31
0.64,0.82,1000
0.64,0.84,1000
0.64,0.86,1000
0.64,0.88,1000
0.64,0.9,1000
0.64,0.92,1000
0.64,0.94,1000
0.64,0.96,1000
0.64,0.98,1000
0.64,1,1000
0.62,0,10
0.62,0.02,10
0.62,0.04,10
0.62,0.06,10
0.62,0.08,10
0.62,0.1,10
0.62,0.12,10
0.62,0.14,10
0.62,0.16,10
0.62,0.18,10.3
0.62,0.2,10.6
0.62,0.22,10.9
0.62,0.24,10.9
0.62,0.26,11
0.62,0.28,11
0.62,0.3,11
0.62,0.32,11.2
0.62,0.34,11.3
0.62,0.36,11.3
0.62,0.38,11.9
0.62,0.4,11.9
0.62,0.42,12
0.62,0.44,12.3
0.62,0.46,12.2
0.62,0.48,12.7
0.62,0.5,12.9
0.62,0.52,13
0.62,0.54,13.2
0.62,0.56,13.2
0.62,0.58,13.9
0.62,0.6,14
0.62,0.62,14.5
0.62,0.64,15
0.62,0.66,15.7
0.62,0.68,15.8
0.62,0.7,16.3
0.62,0.72,17
0.62,0.74,19.6
0.62,0.76,19.1
0.62,0.78,23.6
0.62,0.8,23.875
0.62,0.82,28.667
0.62,0.84,27
0.62,0.86,1000
0.62,0.88,1000
0.62,0.9,1000
0.62,0.92,1000
0.62,0.94,1000
0.62,0.96,1000
0.62,0.98,1000
0.62,1,1000
0.6,0,10
0.6,0.02,10
0.6,0.04,10
0.6,0.06,10
0.6,0.08,10
0.6,0.1,10
0.6,0.12,10
0.6,0.14,10.1
0.6,0.16,10.2
0.6,0.18,10.2
0.6,0.2,10.6
0.6,0.22,10.9
0.6,0.24,10.9
0.6,0.26,11
0.6,0.28,11
0.6,0.3,11.1
0.6,0.32,11
0.6,0.34,11
0.6,0.36,11.3
0.6,0.38,11.9
0.6,0.4,11.9
0.6,0.42,12
0.6,0.44,12
0.6,0.46,12
0.6,0.48,12.6
0.6,0.5,12.6
0.6,0.52,12.9
0.6,0.54,13
0.6,0.56,13.2
0.6,0.58,13.5
0.6,0.6,13.7
0.6,0.62,14.2
0.6,0.64,14.6
0.6,0.66,14.5
0.6,0.68,14.7
0.6,0.7,15.3
0.6,0.72,15.9
0.6,0.74,16.3
0.6,0.76,17.1
0.6,0.78,18.2
0.6,0.8,18.8
0.6,0.82,20.7
0.6,0.84,20.889
0.6,0.86,23.875
0.6,0.88,23.5
0.6,0.9,31
0.6,0.92,27
0.6,0.94,1000
0.6,0.96,1000
0.6,0.98,1000
0.6,1,1000
0.58,0,10
0.58,0.02,10
0.58,0.04,10
0.58,0.06,10
0.58,0.08,10
0.58,0.1,10
0.58,0.12,10
0.58,0.14,10.1
0.58,0.16,10.2
0.58,0.18,10.4
0.58,0.2,10.8
0.58,0.22,10.8
0.58,0.24,10.9
0.58,0.26,11
0.58,0.28,11
0.58,0.3,11
0.58,0.32,11.1
0.58,0.34,11
0.58,0.36,11.3
0.58,0.38,11.8
0.58,0.4,11.8
0.58,0.42,12
0.58,0.44,12
0.58,0.46,12
0.58,0.48,12.2
0.58,0.5,12.2
0.58,0.52,12.4
0.58,0.54,12.9
0.58,0.56,12.9
0.58,0.58,13
0.58,0.6,13
0.58,0.62,13.8
0.58,0.64,13.9
0.58,0.66,13.9
0.58,0.68,14.3
0.58,0.7,14.9
0.58,0.72,14.8
0.58,0.74,15.4
0.58,0.76,15.8
0.58,0.78,16
0.58,0.8,16.1
0.58,0.82,17.6
0.58,0.84,18.7
0.58,0.86,20
0.58,0.88,20.3
0.58,0.9,23.3
0.58,0.92,24.222
0.58,0.94,25
0.58,0.96,21.5
